ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Trindade do Sul,RS,"5,767",1,0,0,1,0,1,,,
Tucunduva,RS,"5,837",0,0,0,0,0,0,,,
Tunas,RS,"4,408",0,2,0,0,2,0,,,
Tupanci do Sul,RS,"1,550",0,0,0,0,0,0,,,
Tupandi,RS,"4,070",1,0,0,1,0,0,,,
Tuparendi,RS,"8,409",0,1,0,0,2,0,,,
Turuçu,RS,"3,494",0,0,0,0,0,0,,,
Ubiretama,RS,"2,239",0,0,0,0,0,0,,,
União da Serra,RS,"1,424",0,0,0,0,0,0,,,
Unistalda,RS,"2,421",0,0,0,0,0,0,,,
Vale do Sol,RS,"11,156",0,1,2,0,2,2,,,
Vale Real,RS,"5,236",0,0,0,0,0,0,,,
Vale Verde,RS,"3,283",0,1,0,0,1,0,,,
Vanini,RS,"1,999",0,0,0,0,0,0,,,
Vespasiano Correa,RS,"1,939",0,0,0,0,0,0,,,
Viadutos,RS,"5,194",0,0,0,0,1,0,,,
Vicente Dutra,RS,"5,158",2,0,3,2,0,4,,,
Victor Graeff,RS,"2,998",0,0,0,0,0,0,,,
Vila Flores,RS,"3,226",0,0,0,0,1,0,,,
Vila Lângaro,RS,"2,134",0,0,0,0,0,0,,,
Vila Maria,RS,"4,229",0,0,0,0,0,0,,,
Vila Nova do Sul,RS,"4,215",0,0,0,1,0,0,,,
Vista Alegre,RS,"2,808",0,3,0,0,3,0,,,
Vista Alegre do Prata,RS,"1,562",0,0,0,0,0,0,,,
Vista Gaúcha,RS,"2,765",0,0,0,0,0,0,,,
Vitória das Missões,RS,"3,411",0,0,0,0,1,0,,,
Westfalia,RS,"2,821",0,0,0,0,1,0,,,
Xangri-lá,RS,"13,074",0,2,1,0,2,1,,,
Camboriú,SC,"65,520",15,17,28,15,17,29,30.5,31.0,247º
Navegantes,SC,"63,764",15,11,15,15,12,15,21.4,22.0,419º
Itajaí,SC,"188,791",48,40,25,49,41,28,20.0,20.8,446º
São José,SC,"215,278",33,38,33,33,41,35,16.1,16.9,561º
Tijucas,SC,"32,087",4,1,10,5,1,10,15.6,16.6,568º
Balneário Camboriú,SC,"113,319",25,12,13,25,16,13,14.7,15.9,600º
Penha,SC,"26,268",6,4,2,6,4,2,15.2,15.2,620º
Chapecó,SC,"189,052",15,27,36,18,29,39,13.8,15.2,621º
Campos Novos,SC,"33,313",5,6,1,5,8,2,12.0,15.0,629º
Florianópolis,SC,"433,158",76,64,48,78,64,52,14.5,14.9,635º
Criciúma,SC,"195,614",13,21,44,15,25,45,13.3,14.5,650º
Araquari,SC,"26,875",2,5,4,2,5,4,13.6,13.6,685º
Laguna,SC,"52,166",7,8,5,7,8,6,12.8,13.4,698º
Itapema,SC,"48,807",7,7,5,7,7,5,13.0,13.0,723º
Tubarão,SC,"98,412",12,16,6,13,16,8,11.5,12.5,753º
Joinville,SC,"526,338",49,48,59,51,51,65,9.9,10.6,862º
Barra Velha,SC,"23,422",1,2,2,1,3,3,7.1,10.0,893º
São Francisco do Sul,SC,"44,064",3,6,4,3,6,4,9.8,9.8,901º
São Joaquim,SC,"25,111",1,0,2,1,1,5,4.0,9.3,939º
Biguaçu,SC,"59,736",5,4,6,5,4,6,8.4,8.4,998º
Palhoça,SC,"142,558",8,10,14,8,12,15,7.5,8.2,1011º
Araranguá,SC,"62,308",5,1,7,6,2,7,7.0,8.0,1023º
Videira,SC,"48,064",2,3,1,6,3,2,4.2,7.6,1045º
Indaial,SC,"57,068",4,3,5,5,3,5,7.0,7.6,1046º
São Lourenço do Oeste,SC,"22,062",1,0,2,2,1,2,4.5,7.6,1049º
Joaçaba,SC,"27,467",2,2,1,3,2,1,6.1,7.3,1064º
São Miguel do Oeste,SC,"36,908",2,2,1,3,2,3,4.5,7.2,1072º
Fraiburgo,SC,"34,796",1,3,2,1,3,3,5.7,6.7,1116º
Imbituba,SC,"40,845",2,3,0,3,5,0,4.1,6.5,1136º
Içara,SC,"60,374",1,4,5,2,4,5,5.5,6.1,1179º
Caçador,SC,"71,886",5,2,4,5,4,4,5.1,6.0,1185º
São João Batista,SC,"27,982",2,2,1,2,2,1,6.0,6.0,1194º
Rio do Sul,SC,"62,658",2,3,5,3,3,5,5.3,5.9,1200º
Gaspar,SC,"59,728",2,6,2,2,6,2,5.6,5.6,1216º
Blumenau,SC,"316,139",19,16,10,22,17,12,4.7,5.4,1237º
Xanxerê,SC,"45,140",2,3,1,2,4,1,4.4,5.2,1260º
Mafra,SC,"53,361",1,2,0,2,6,0,1.9,5.0,1276º
Itaiópolis,SC,"20,485",0,0,3,0,0,3,4.9,4.9,1296º
Lages,SC,"156,604",6,8,4,7,10,5,3.8,4.7,1313º
Canoinhas,SC,"52,937",2,4,1,2,4,1,4.4,4.4,1334º
Concórdia,SC,"69,462",1,1,1,2,2,5,1.4,4.3,1343º
Jaraguá do Sul,SC,"148,353",4,5,8,6,5,8,3.8,4.3,1349º
Xaxim,SC,"26,145",1,1,1,1,1,1,3.8,3.8,1392º
Guaramirim,SC,"36,640",1,1,2,1,1,2,3.6,3.6,1404º
Brusque,SC,"109,950",1,0,6,4,1,7,2.1,3.6,1405º
São Bento do Sul,SC,"76,215",4,2,1,4,3,1,3.1,3.5,1417º
Capinzal,SC,"21,064",1,0,0,2,0,0,1.6,3.2,1454º
Orleans,SC,"21,599",1,0,0,1,1,0,1.5,3.1,1464º
Capivari de Baixo,SC,"22,145",1,1,0,1,1,0,3.0,3.0,1470º
Curitibanos,SC,"38,003",0,1,1,0,2,1,1.8,2.6,1496º
Porto União,SC,"33,740",1,0,0,2,0,0,1.0,2.0,1541º
Timbó,SC,"37,894",0,1,1,0,1,1,1.8,1.8,1554º
Rio Negrinho,SC,"40,169",0,0,2,0,0,2,1.7,1.7,1560º
Ituporanga,SC,"22,667",0,0,1,0,0,1,1.5,1.5,1581º
Forquilhinha,SC,"23,183",0,1,0,0,1,0,1.4,1.4,1585º
Braço do Norte,SC,"29,672",0,1,0,0,1,0,1.1,1.1,1607º
Herval d'Oeste,SC,"21,420",0,0,0,0,0,0,0.0,0.0,1627º
Maravilha,SC,"22,642",0,0,0,0,0,0,0.0,0.0,1627º
Pomerode,SC,"28,610",0,0,0,0,0,0,0.0,0.0,1627º
Santo Amaro da Imperatriz,SC,"20,332",0,0,0,0,0,0,0.0,0.0,1627º
Sombrio,SC,"27,165",0,0,0,0,0,0,0.0,0.0,1627º
Urussanga,SC,"20,356",0,0,0,0,0,0,0.0,0.0,1627º
Abdon Batista,SC,"2,635",0,0,0,0,0,0,,,
Abelardo Luz,SC,"17,200",1,2,3,1,2,3,,,
Agrolândia,SC,"9,552",0,0,0,0,0,0,,,
Agronômica,SC,"4,985",0,0,0,0,0,0,,,
Água Doce,SC,"6,979",2,0,0,2,0,0,,,
Águas de Chapecó,SC,"6,160",0,0,0,2,0,0,,,
Águas Frias,SC,"2,409",0,0,0,0,0,0,,,
Águas Mornas,SC,"5,685",0,0,0,0,0,0,,,
Alfredo Wagner,SC,"9,494",0,0,2,1,0,2,,,
Alto Bela Vista,SC,"1,991",0,0,0,0,0,0,,,
Anchieta,SC,"6,172",0,0,0,0,0,0,,,
Angelina,SC,"5,171",0,0,0,0,0,0,,,
Anita Garibaldi,SC,"8,374",0,0,0,0,0,0,,,
Anitápolis,SC,"3,211",0,0,0,0,0,0,,,
Antônio Carlos,SC,"7,613",3,0,1,3,0,1,,,
Apiúna,SC,"9,764",0,1,0,1,1,0,,,
Arabutã,SC,"4,198",0,0,0,0,0,0,,,
Armazém,SC,"7,886",0,0,0,0,0,0,,,
Arroio Trinta,SC,"3,504",0,0,0,0,0,0,,,
Arvoredo,SC,"2,254",0,0,0,0,0,0,,,
Ascurra,SC,"7,485",0,0,1,0,0,2,,,
Atalanta,SC,"3,281",0,0,0,0,0,0,,,
Aurora,SC,"5,561",0,0,0,0,0,0,,,
Balneário Arroio do Silva,SC,"10,121",4,0,1,4,0,1,,,
Balneário Barra do Sul,SC,"8,791",0,1,0,0,1,0,,,
Balneário Gaivota,SC,"8,655",0,0,0,0,0,0,,,
Balneário Piçarras,SC,"18,010",0,1,4,1,1,4,,,
Bandeirante,SC,"2,866",0,0,0,0,0,0,,,
Barra Bonita,SC,"1,853",0,0,0,0,0,0,,,
Bela Vista do Toldo,SC,"6,047",0,0,0,0,0,0,,,
Belmonte,SC,"2,643",0,0,0,0,0,0,,,
Benedito Novo,SC,"10,528",0,1,0,0,1,0,,,
Bocaina do Sul,SC,"3,314",0,0,0,0,0,0,,,
Bom Jardim da Serra,SC,"4,443",0,0,0,0,0,0,,,
Bom Jesus,SC,"2,599",0,0,0,0,0,0,,,
Bom Jesus do Oeste,SC,"2,130",0,0,0,0,0,0,,,
Bom Retiro,SC,"9,090",0,0,1,0,1,1,,,
Bombinhas,SC,"15,136",0,2,0,0,2,0,,,
Botuverá,SC,"4,584",0,0,0,0,0,0,,,
Braço do Trombudo,SC,"3,498",0,0,0,0,0,1,,,
Brunópolis,SC,"2,778",0,0,0,0,0,1,,,
Caibi,SC,"6,199",0,0,0,0,0,0,,,
Calmon,SC,"3,375",0,0,0,0,0,0,,,
Campo Alegre,SC,"11,766",1,1,2,1,1,2,,,
Campo Belo do Sul,SC,"7,398",1,0,1,1,0,1,,,
Campo Erê,SC,"9,222",1,0,0,1,1,0,,,
Canelinha,SC,"10,845",0,0,0,0,0,0,,,
Capão Alto,SC,"2,713",0,1,0,0,1,0,,,
Catanduvas,SC,"9,746",1,1,0,1,1,0,,,
Caxambu do Sul,SC,"4,283",0,0,0,0,0,0,,,
Celso Ramos,SC,"2,760",0,0,0,0,0,0,,,
Cerro Negro,SC,"3,503",0,0,0,0,0,0,,,
Chapadão do Lageado,SC,"2,793",0,0,0,0,0,0,,,
Cocal do Sul,SC,"15,376",1,1,0,1,1,0,,,
Cordilheira Alta,SC,"3,869",0,1,0,0,1,0,,,
Coronel Freitas,SC,"10,165",0,0,1,0,0,1,,,
Coronel Martins,SC,"2,469",1,0,0,1,0,0,,,
Correia Pinto,SC,"14,447",1,0,0,2,1,0,,,
Corupá,SC,"14,155",0,0,2,0,0,2,,,
Cunha Porã,SC,"10,671",0,0,1,0,0,1,,,
Cunhataí,SC,"1,892",0,0,0,0,0,0,,,
Descanso,SC,"8,560",0,0,0,0,0,0,,,
Dionísio Cerqueira,SC,"14,896",1,2,2,2,2,5,,,
Dona Emma,SC,"3,784",0,0,0,0,0,0,,,
Doutor Pedrinho,SC,"3,683",0,0,0,0,0,0,,,
Entre Rios,SC,"3,043",0,0,0,0,0,0,,,
Ermo,SC,"2,049",0,0,0,0,0,0,,,
Erval Velho,SC,"4,365",0,0,0,0,0,0,,,
Faxinal dos Guedes,SC,"10,645",0,0,0,0,0,0,,,
Flor do Sertão,SC,"1,585",1,1,0,1,2,0,,,
Formosa do Sul,SC,"2,583",0,0,0,0,0,0,,,
Frei Rogério,SC,"2,399",0,0,0,0,0,0,,,
Galvão,SC,"3,452",1,0,0,1,0,0,,,
Garopaba,SC,"18,890",0,0,0,0,0,0,,,
Garuva,SC,"15,272",0,0,1,0,0,1,,,
Governador Celso Ramos,SC,"13,211",0,0,0,0,1,1,,,
Grão Pará,SC,"6,268",0,1,0,0,1,0,,,
Gravatal,SC,"10,758",0,1,0,0,1,0,,,
Guabiruba,SC,"19,254",0,0,0,0,0,0,,,
Guaraciaba,SC,"10,417",0,0,1,0,0,1,,,
Guarujá do Sul,SC,"4,941",0,0,0,0,0,0,,,
Guatambú,SC,"4,676",0,1,0,0,1,0,,,
Ibiam,SC,"1,944",0,0,0,0,0,0,,,
Ibicaré,SC,"3,341",0,0,0,0,1,0,,,
Ibirama,SC,"17,561",0,0,0,0,0,0,,,
Ilhota,SC,"12,624",1,3,1,1,3,1,,,
Imaruí,SC,"11,411",0,0,0,0,0,0,,,
Imbuia,SC,"5,777",0,0,0,0,0,0,,,
Iomerê,SC,"2,768",0,0,0,0,0,0,,,
Ipira,SC,"4,699",0,0,0,0,0,0,,,
Iporã do Oeste,SC,"8,490",0,0,0,0,0,0,,,
Ipuaçu,SC,"6,901",0,0,0,0,0,0,,,
Ipumirim,SC,"7,268",0,1,1,0,1,1,,,
Iraceminha,SC,"4,202",0,0,0,0,0,0,,,
Irani,SC,"9,656",0,1,1,0,1,1,,,
Irati,SC,"2,067",0,0,0,0,0,0,,,
Irineópolis,SC,"10,556",0,0,0,0,0,0,,,
Itá,SC,"6,375",0,0,0,0,0,0,,,
Itapiranga,SC,"15,623",0,0,1,0,0,2,,,
Itapoá,SC,"15,658",2,1,2,2,1,2,,,
Jaborá,SC,"4,018",0,0,0,0,0,0,,,
Jacinto Machado,SC,"10,562",1,0,1,1,1,1,,,
Jaguaruna,SC,"17,695",0,0,0,0,0,0,,,
Jardinópolis,SC,"1,732",0,0,0,0,0,0,,,
José Boiteux,SC,"4,741",0,0,0,0,0,0,,,
Jupiá,SC,"2,138",0,0,0,0,0,0,,,
Lacerdópolis,SC,"2,203",0,0,0,0,0,0,,,
Lajeado Grande,SC,"1,478",0,0,0,0,0,0,,,
Laurentino,SC,"6,147",0,0,0,0,0,0,,,
Lauro Muller,SC,"14,483",0,0,0,0,0,0,,,
Lebon Régis,SC,"11,862",0,0,0,0,0,0,,,
Leoberto Leal,SC,"3,309",0,0,1,0,0,1,,,
Lindóia do Sul,SC,"4,622",0,0,0,0,0,0,,,
Lontras,SC,"10,526",0,1,0,0,1,0,,,
Luiz Alves,SC,"10,811",0,3,1,0,3,1,,,
Luzerna,SC,"5,605",0,0,0,0,0,0,,,
Macieira,SC,"1,815",0,0,0,0,0,0,,,
Major Gercino,SC,"3,300",0,0,0,0,0,0,,,
Major Vieira,SC,"7,566",0,0,0,0,0,0,,,
Maracajá,SC,"6,535",0,0,0,0,0,0,,,
Marema,SC,"2,136",0,0,0,0,0,0,,,
Massaranduba,SC,"14,993",0,1,0,0,1,0,,,
Matos Costa,SC,"2,784",1,0,1,1,0,1,,,
Meleiro,SC,"6,988",0,0,0,0,0,0,,,
Mirim Doce,SC,"2,477",0,0,0,0,0,0,,,
Modelo,SC,"4,063",0,0,0,0,0,0,,,
Mondaí,SC,"10,458",1,0,0,2,0,0,,,
Monte Carlo,SC,"9,381",0,0,1,0,0,1,,,
Monte Castelo,SC,"8,346",0,0,0,1,0,0,,,
Morro da Fumaça,SC,"16,364",1,0,0,1,0,0,,,
Morro Grande,SC,"2,886",0,1,0,0,1,0,,,
Nova Erechim,SC,"4,386",0,0,0,0,0,0,,,
Nova Itaberaba,SC,"4,269",0,0,0,0,0,0,,,
Nova Trento,SC,"12,544",0,0,2,0,0,2,,,
Nova Veneza,SC,"13,581",0,1,0,0,1,0,,,
Novo Horizonte,SC,"2,697",0,0,0,0,0,0,,,
Otacílio Costa,SC,"16,691",0,1,1,0,1,1,,,
Ouro,SC,"7,348",0,0,0,0,0,0,,,
Ouro Verde,SC,"2,259",0,0,0,0,0,0,,,
Paial,SC,"1,720",0,0,1,0,0,1,,,
Painel,SC,"2,351",0,0,0,0,0,0,,,
Palma Sola,SC,"7,699",1,0,0,1,1,1,,,
Palmeira,SC,"2,410",0,0,0,0,0,0,,,
Palmitos,SC,"16,018",0,0,0,1,0,0,,,
Papanduva,SC,"18,096",0,0,0,0,2,0,,,
Paraíso,SC,"3,972",0,0,0,0,0,0,,,
Passo de Torres,SC,"6,964",0,0,0,0,0,0,,,
Passos Maia,SC,"4,374",0,0,0,0,1,0,,,
Paulo Lopes,SC,"6,808",0,2,0,0,2,0,,,
Pedras Grandes,SC,"4,078",0,0,0,0,0,0,,,
Peritiba,SC,"2,952",0,0,0,0,0,0,,,
Petrolândia,SC,"6,090",1,0,0,2,0,0,,,
Pinhalzinho,SC,"16,933",0,0,0,0,0,0,,,
Pinheiro Preto,SC,"3,190",0,1,0,0,1,0,,,
Piratuba,SC,"4,632",0,0,0,0,0,0,,,
Planalto Alegre,SC,"2,685",0,0,0,0,0,0,,,
Ponte Alta,SC,"4,853",0,1,0,1,1,0,,,
Ponte Alta do Norte,SC,"3,316",0,0,0,0,0,0,,,
Ponte Serrada,SC,"11,102",0,0,3,0,0,4,,,
Porto Belo,SC,"16,896",1,1,3,1,1,3,,,
Pouso Redondo,SC,"15,204",0,1,0,0,2,0,,,
Praia Grande,SC,"7,265",0,0,0,0,0,0,,,
Presidente Castello Branco,SC,"1,697",0,0,0,0,0,0,,,
Presidente Getúlio,SC,"15,273",0,0,0,0,0,0,,,
Presidente Nereu,SC,"2,281",0,0,0,0,0,0,,,
Princesa,SC,"2,780",0,0,0,0,0,0,,,
Quilombo,SC,"10,175",0,0,0,0,0,0,,,
Rancho Queimado,SC,"2,765",0,0,0,0,0,0,,,
Rio das Antas,SC,"6,146",0,0,0,1,0,0,,,
Rio do Campo,SC,"6,143",0,1,0,0,1,0,,,
Rio do Oeste,SC,"7,145",2,0,1,3,0,1,,,
Rio dos Cedros,SC,"10,488",0,0,0,0,1,0,,,
Rio Fortuna,SC,"4,466",2,0,0,2,0,0,,,
Rio Rufino,SC,"2,440",0,0,0,0,0,0,,,
Riqueza,SC,"4,789",0,1,0,0,1,0,,,
Rodeio,SC,"11,004",1,0,0,1,0,0,,,
Romelândia,SC,"5,494",0,0,0,0,2,0,,,
Salete,SC,"7,402",0,0,0,0,0,0,,,
Saltinho,SC,"3,926",1,0,0,1,0,0,,,
Salto Veloso,SC,"4,361",0,0,0,0,0,0,,,
Sangão,SC,"10,744",1,0,1,1,0,1,,,
Santa Cecília,SC,"15,902",3,0,1,3,0,1,,,
Santa Helena,SC,"2,351",0,0,0,0,0,0,,,
Santa Rosa de Lima,SC,"2,074",0,0,0,0,0,0,,,
Santa Rosa do Sul,SC,"8,091",0,0,0,0,0,0,,,
Santa Terezinha,SC,"8,756",2,0,1,2,0,1,,,
Santa Terezinha do Progresso,SC,"2,818",0,1,0,0,1,0,,,
Santiago do Sul,SC,"1,431",0,0,0,0,0,0,,,
São Bernardino,SC,"2,676",0,1,0,0,2,0,,,
São Bonifácio,SC,"2,977",0,0,0,0,0,0,,,
São Carlos,SC,"10,431",1,1,0,1,1,0,,,
São Cristovão do Sul,SC,"5,089",0,0,1,0,0,1,,,
São Domingos,SC,"9,389",0,0,0,0,0,0,,,
São João do Itaperiú,SC,"3,477",1,0,0,1,0,0,,,
São João do Oeste,SC,"6,074",0,0,0,0,0,0,,,
São João do Sul,SC,"7,035",0,0,0,0,0,0,,,
São José do Cedro,SC,"13,685",0,2,0,0,2,0,,,
São José do Cerrito,SC,"9,104",0,0,1,0,0,2,,,
São Ludgero,SC,"11,357",0,0,0,0,0,0,,,
São Martinho,SC,"3,200",0,0,0,0,0,0,,,
São Miguel da Boa Vista,SC,"1,887",0,0,0,0,0,0,,,
São Pedro de Alcântara,SC,"4,874",0,0,0,0,0,0,,,
Saudades,SC,"9,121",0,0,0,0,0,0,,,
Schroeder,SC,"16,248",0,0,0,0,0,0,,,
Seara,SC,"17,005",1,1,0,1,1,0,,,
Serra Alta,SC,"3,279",0,0,0,0,0,0,,,
Siderópolis,SC,"13,137",0,0,1,0,1,1,,,
Sul Brasil,SC,"2,714",0,1,0,0,1,0,,,
Taió,SC,"17,412",2,0,0,3,0,0,,,
Tangará,SC,"8,653",0,1,0,0,1,0,,,
Tigrinhos,SC,"1,739",0,0,0,0,0,0,,,
Timbé do Sul,SC,"5,306",0,0,0,0,0,0,,,
Timbó Grande,SC,"7,268",0,0,0,0,0,0,,,
Três Barras,SC,"18,281",0,2,1,1,2,2,,,
Treviso,SC,"3,585",0,0,0,0,0,0,,,
Treze de Maio,SC,"6,901",0,0,1,0,0,1,,,
Treze Tílias,SC,"6,568",0,0,0,0,0,0,,,
Trombudo Central,SC,"6,668",0,0,0,0,0,0,,,
Tunápolis,SC,"4,612",0,0,0,0,0,0,,,
Turvo,SC,"12,001",1,0,0,1,0,0,,,
União do Oeste,SC,"2,838",0,0,0,0,0,0,,,
Urubici,SC,"10,767",1,1,0,1,1,0,,,
Urupema,SC,"2,476",0,0,0,0,0,0,,,
Vargeão,SC,"3,533",0,0,0,0,0,1,,,
Vargem,SC,"2,746",0,0,0,0,0,0,,,
Vargem Bonita,SC,"4,738",0,0,0,0,0,0,,,
Vidal Ramos,SC,"6,284",1,0,0,1,0,0,,,
Vitor Meireles,SC,"5,160",0,0,0,0,0,0,,,
Witmarsum,SC,"3,653",0,0,0,0,0,0,,,
Xavantina,SC,"4,103",0,0,0,0,0,0,,,
Zortéa,SC,"3,046",0,0,0,1,0,0,,,
Itabaiana,SE,"88,501",33,44,49,36,44,49,47.5,48.6,76º
Propriá,SE,"28,612",14,12,13,14,12,13,45.4,45.4,95º
Aracaju,SE,"587,701",147,194,264,156,196,266,34.3,35.1,196º
Barra dos Coqueiros,SE,"26,059",11,10,6,11,10,6,34.5,34.5,203º
Tobias Barreto,SE,"48,776",21,11,18,21,11,18,34.2,34.2,206º
Laranjeiras,SE,"27,442",9,11,8,9,11,8,34.0,34.0,208º
São Cristóvão,SE,"81,011",24,35,20,24,35,21,32.5,32.9,216º
Nossa Senhora do Socorro,SE,"165,194",45,41,66,46,41,66,30.7,30.9,250º
Poço Verde,SE,"22,287",2,7,10,2,7,11,28.4,29.9,267º
Lagarto,SE,"96,602",29,35,16,29,35,16,27.6,27.6,301º
Canindé de São Francisco,SE,"25,733",2,9,8,2,9,9,24.6,25.9,330º
Estância,SE,"65,226",17,11,21,17,12,21,25.0,25.6,339º
Itaporanga d'Ajuda,SE,"31,165",5,6,11,5,6,11,23.5,23.5,388º
Poço Redondo,SE,"31,614",4,5,10,4,5,10,20.0,20.0,462º
Carira,SE,"20,345",3,2,7,3,2,7,19.7,19.7,471º
Itabaianinha,SE,"39,432",9,5,8,9,5,8,18.6,18.6,509º
Umbaúba,SE,"23,223",5,3,3,5,4,3,15.8,17.2,551º
Nossa Senhora da Glória,SE,"33,341",6,8,3,6,8,3,17.0,17.0,556º
Porto da Folha,SE,"27,370",6,2,3,6,3,3,13.4,14.6,643º
Simão Dias,SE,"38,988",5,3,9,5,3,9,14.5,14.5,647º
Nossa Senhora das Dores,SE,"24,941",3,3,1,3,3,1,9.4,9.4,934º
Boquim,SE,"25,727",0,0,5,0,0,5,6.5,6.5,1143º
Capela,SE,"31,402",0,2,3,1,2,3,5.3,6.4,1158º
Aquidabã,SE,"20,315",1,1,1,1,1,1,4.9,4.9,1286º
Amparo de São Francisco,SE,"2,290",0,0,0,0,0,0,,,
Arauá,SE,"9,495",1,3,1,1,3,1,,,
Areia Branca,SE,"17,164",4,7,7,4,7,7,,,
Brejo Grande,SE,"7,839",2,0,2,2,0,2,,,
Campo do Brito,SE,"16,987",1,3,5,1,3,5,,,
Canhoba,SE,"3,955",0,0,0,0,0,0,,,
Carmópolis,SE,"14,130",0,0,5,0,0,5,,,
Cedro de São João,SE,"5,672",2,0,1,2,0,1,,,
Cristinápolis,SE,"16,859",1,1,1,1,1,1,,,
Cumbe,SE,"3,839",0,0,2,0,0,2,,,
Divina Pastora,SE,"4,487",0,1,1,0,1,1,,,
Feira Nova,SE,"5,363",1,0,0,1,0,0,,,
Frei Paulo,SE,"14,162",2,0,0,2,0,0,,,
Gararu,SE,"11,412",1,0,1,1,0,1,,,
General Maynard,SE,"3,009",0,1,0,0,1,0,,,
Gracho Cardoso,SE,"5,665",0,0,1,0,0,1,,,
Ilha das Flores,SE,"8,359",1,0,4,1,1,4,,,
Indiaroba,SE,"16,236",0,2,1,0,2,1,,,
Itabi,SE,"4,942",0,0,0,0,0,0,,,
Japaratuba,SE,"17,213",3,0,4,3,0,4,,,
Japoatã,SE,"12,926",4,1,1,4,1,1,,,
Macambira,SE,"6,492",0,0,1,0,0,1,,,
Malhada dos Bois,SE,"3,494",0,0,1,0,0,1,,,
Malhador,SE,"12,127",0,1,2,0,1,2,,,
Maruim,SE,"16,478",2,1,3,2,1,3,,,
Moita Bonita,SE,"11,038",0,4,2,0,4,3,,,
Monte Alegre de Sergipe,SE,"13,936",4,6,0,4,6,0,,,
Muribeca,SE,"7,381",0,1,0,0,1,0,,,
Neópolis,SE,"18,493",7,4,9,8,4,9,,,
Nossa Senhora Aparecida,SE,"8,543",1,2,0,1,2,0,,,
Nossa Senhora de Lourdes,SE,"6,271",1,0,1,1,0,1,,,
Pacatuba,SE,"13,379",1,2,4,1,2,4,,,
Pedra Mole,SE,"3,026",0,0,0,0,0,0,,,
Pedrinhas,SE,"8,970",1,0,0,1,0,0,,,
Pinhão,SE,"6,084",0,1,0,0,1,0,,,
Pirambu,SE,"8,538",1,1,2,1,1,2,,,
Riachão do Dantas,SE,"19,414",3,1,3,3,1,3,,,
Riachuelo,SE,"9,509",0,4,2,0,4,2,,,
Ribeirópolis,SE,"17,435",1,5,3,1,5,3,,,
Rosário do Catete,SE,"9,541",0,1,0,0,1,0,,,
Salgado,SE,"19,439",4,2,3,4,2,3,,,
Santa Luzia do Itanhy,SE,"14,081",1,2,2,1,2,2,,,
Santa Rosa de Lima,SE,"3,773",0,0,0,0,0,0,,,
Santana do São Francisco,SE,"7,175",1,0,2,1,0,2,,,
Santo Amaro das Brotas,SE,"11,522",3,1,3,3,1,3,,,
São Domingos,SE,"10,424",0,0,3,0,0,3,,,
São Francisco,SE,"3,524",0,0,0,0,0,0,,,
São Miguel do Aleixo,SE,"3,736",0,0,0,0,0,0,,,
Siriri,SE,"8,169",3,2,1,3,2,1,,,
Telha,SE,"3,006",0,0,0,0,0,0,,,
Tomar do Geru,SE,"12,858",3,6,6,3,6,6,,,
Caraguatatuba,SP,"104,150",34,27,21,34,27,21,26.2,26.2,323º
Aparecida,SP,"35,023",5,11,9,5,12,9,23.8,24.7,356º
Lorena,SP,"83,224",9,27,17,9,31,17,21.2,22.8,401º
Diadema,SP,"390,980",109,62,75,116,66,83,21.0,22.6,407º
Itapevi,SP,"206,558",35,39,52,35,39,54,20.3,20.7,447º
Taubaté,SP,"283,899",51,52,65,51,52,68,19.7,20.1,460º
Embu,SP,"245,148",38,48,52,38,49,55,18.8,19.3,482º
Cunha,SP,"21,682",1,3,8,1,3,8,18.4,18.4,514º
Itaquaquecetuba,SP,"329,144",47,70,60,48,73,61,17.9,18.4,515º
Taboão da Serra,SP,"251,608",35,42,57,35,44,59,17.8,18.3,520º
Jacareí,SP,"214,223",25,33,53,25,34,55,17.3,17.7,532º
Guaratinguetá,SP,"113,258",18,20,20,18,21,20,17.1,17.4,548º
Cubatão,SP,"120,293",19,18,24,19,19,24,16.9,17.2,553º
Guarulhos,SP,"1,244,518",188,205,198,193,214,207,15.8,16.4,577º
Valparaíso,SP,"23,181",4,4,1,6,4,1,12.9,15.8,602º
Monte Mor,SP,"50,702",9,9,5,10,9,5,15.1,15.8,603º
Ubatuba,SP,"80,604",12,13,13,12,13,13,15.7,15.7,606º
Guariba,SP,"36,151",8,4,4,8,5,4,14.8,15.7,607º
Jandira,SP,"110,842",7,17,23,8,18,24,14.1,15.0,627º
Osasco,SP,"668,877",88,95,100,97,100,104,14.1,15.0,631º
Potim,SP,"20,272",1,1,2,1,5,3,6.6,14.8,639º
Rio Claro,SP,"188,977",13,38,25,15,39,27,13.4,14.3,660º
Santo Antônio de Posse,SP,"21,032",2,5,1,2,5,2,12.7,14.3,661º
Araçoiaba da Serra,SP,"28,429",3,5,1,4,6,2,10.6,14.1,667º
Guarujá,SP,"294,669",41,23,56,42,23,58,13.6,13.9,676º
Praia Grande,SP,"272,390",43,34,28,44,36,29,12.8,13.3,700º
