ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Urucurituba,AM,"18,679",0,0,0,0,0,0,,,
Macapá,AP,"415,554",87,62,87,87,62,88,18.9,19.0,494º
Oiapoque,AP,"21,661",3,2,2,5,2,2,10.8,13.8,680º
Laranjal do Jari,AP,"41,668",4,3,4,5,4,4,8.8,10.4,870º
Santana,AP,"104,407",6,7,14,6,7,14,8.6,8.6,976º
Amapá,AP,"8,213",0,0,0,0,0,0,,,
Calçoene,AP,"9,343",0,0,0,0,0,0,,,
Cutias,AP,"4,910",0,0,0,0,0,0,,,
Ferreira Gomes,AP,"6,141",1,1,0,1,1,0,,,
Itaubal,AP,"4,473",0,0,0,0,0,0,,,
Mazagão,AP,"17,794",0,1,0,0,1,0,,,
Pedra Branca do Amapari,AP,"11,794",0,0,0,0,0,0,,,
Porto Grande,AP,"17,680",2,1,6,2,1,6,,,
Pracuúba,AP,"4,021",0,0,0,0,0,0,,,
Serra do Navio,AP,"4,545",0,0,0,0,0,0,,,
Tartarugalzinho,AP,"13,385",0,1,2,0,1,2,,,
Vitória do Jari,AP,"13,013",0,0,1,0,0,1,,,
Simões Filho,BA,"121,416",179,140,140,180,143,151,126.0,130.1,1º
Lauro de Freitas,BA,"171,042",170,136,163,174,137,178,91.4,95.3,3º
Mata de São João,BA,"41,527",22,36,58,22,37,59,93.1,94.7,5º
Porto Seguro,BA,"131,642",127,115,125,127,116,125,92.9,93.2,7º
Itabuna,BA,"205,885",170,152,197,174,153,197,84.0,84.8,11º
Itaparica,BA,"20,994",13,16,23,13,16,23,82.6,82.6,14º
Valença,BA,"90,319",71,56,60,72,56,61,69.0,69.8,25º
Teixeira de Freitas,BA,"143,001",86,99,99,89,105,103,66.2,69.2,26º
Eunápolis,BA,"102,628",73,45,77,76,53,82,63.3,68.5,27º
Feira de Santana,BA,"568,099",274,234,261,383,322,363,45.1,62.7,35º
Vera Cruz,BA,"38,748",22,31,18,22,31,18,61.1,61.1,38º
Camaçari,BA,"255,238",115,153,173,119,155,189,57.6,60.5,40º
Candeias,BA,"84,121",37,52,54,37,52,58,56.7,58.2,44º
Ilhéus,BA,"187,315",84,108,130,86,108,130,57.3,57.7,47º
Alagoinhas,BA,"143,460",63,82,93,63,83,95,55.3,56.0,49º
Salvador,BA,"2,710,968","1,558","1,405","1,367","1,596","1,438","1,490",53.2,55.6,50º
Vitória da Conquista,BA,"315,884",227,128,158,229,129,162,54.1,54.9,54º
Dias d'Ávila,BA,"69,628",39,29,40,39,30,43,51.7,53.6,61º
Amélia Rodrigues,BA,"25,080",4,18,15,6,18,15,49.2,51.8,66º
Ibirapitanga,BA,"22,683",4,8,22,4,8,22,50.0,50.0,73º
Pojuca,BA,"34,106",6,16,26,6,16,26,46.9,46.9,86º
Itajuípe,BA,"20,878",9,10,10,9,10,10,46.3,46.3,90º
Ubaitaba,BA,"20,214",8,15,4,8,15,4,44.5,44.5,102º
Esplanada,BA,"33,618",10,14,19,10,14,20,42.6,43.6,107º
São Sebastião do Passé,BA,"42,485",22,13,20,22,13,20,43.2,43.2,111º
Catu,BA,"51,734",21,21,15,21,22,18,36.7,39.3,142º
Itamaraju,BA,"63,037",20,18,30,22,18,33,36.0,38.6,148º
Nova Viçosa,BA,"39,535",15,12,13,17,15,13,33.7,37.9,159º
Jacobina,BA,"79,580",37,13,16,61,13,16,27.6,37.7,164º
Irecê,BA,"67,527",16,29,30,17,29,30,37.0,37.5,167º
Juazeiro,BA,"201,499",69,79,77,69,79,78,37.2,37.4,169º
Camacan,BA,"31,535",11,9,15,11,9,15,37.0,37.0,175º
Paulo Afonso,BA,"110,193",48,28,38,51,30,40,34.5,36.6,180º
Jequié,BA,"152,372",47,34,77,48,34,79,34.6,35.2,195º
Santo Antônio de Jesus,BA,"93,077",38,29,29,39,29,29,34.4,34.7,201º
Crisópolis,BA,"20,199",11,8,1,11,8,1,33.0,33.0,213º
Ibicaraí,BA,"23,560",9,8,6,9,8,6,32.5,32.5,227º
Itabela,BA,"28,790",10,5,9,10,6,12,27.8,32.4,230º
Canavieiras,BA,"31,902",9,10,11,9,10,12,31.3,32.4,231º
Santa Cruz Cabrália,BA,"26,623",5,10,10,5,10,10,31.3,31.3,243º
Ituberá,BA,"26,930",2,7,16,2,7,16,30.9,30.9,249º
Entre Rios,BA,"40,180",9,14,14,9,14,14,30.7,30.7,251º
Conceição do Jacuípe,BA,"30,717",8,4,5,12,6,10,18.4,30.4,256º
Alcobaça,BA,"21,328",0,7,10,1,7,11,26.6,29.7,269º
Nazaré,BA,"27,454",13,6,5,13,6,5,29.1,29.1,282º
Conde,BA,"24,103",4,7,9,4,8,9,27.7,29.0,285º
Ipiaú,BA,"44,538",11,10,15,12,10,15,26.9,27.7,299º
Luís Eduardo Magalhães,BA,"66,371",0,0,0,8,18,29,0.0,27.6,300º
Itaberaba,BA,"62,037",6,5,19,7,8,36,16.1,27.4,306º
Santo Amaro,BA,"57,978",16,8,21,17,8,22,25.9,27.0,309º
Prado,BA,"27,693",8,5,8,8,5,9,25.3,26.5,318º
Itacaré,BA,"25,254",4,4,12,4,4,12,26.4,26.4,320º
Camamu,BA,"35,366",10,7,10,11,7,10,25.4,26.4,321º
São Gonçalo dos Campos,BA,"34,232",6,5,7,9,6,12,17.5,26.3,322º
Belmonte,BA,"22,067",2,10,3,3,11,3,22.7,25.7,338º
Rio Real,BA,"37,754",17,4,7,17,4,7,24.7,24.7,358º
Una,BA,"22,992",0,7,9,1,7,9,23.2,24.6,363º
Medeiros Neto,BA,"21,642",6,0,9,6,0,10,23.1,24.6,364º
Itapetinga,BA,"69,903",16,18,16,17,18,16,23.8,24.3,371º
Sobradinho,BA,"22,109",5,9,2,5,9,2,24.1,24.1,376º
João Dourado,BA,"23,066",3,2,11,3,2,11,23.1,23.1,396º
Iguaí,BA,"26,053",10,6,2,10,6,2,23.0,23.0,398º
Gandu,BA,"30,816",5,10,5,5,10,6,21.6,22.7,404º
Guanambi,BA,"79,936",12,24,16,12,26,16,21.7,22.5,409º
Ubatã,BA,"25,575",3,8,5,3,8,6,20.9,22.2,416º
São Francisco do Conde,BA,"34,226",5,6,10,5,6,11,20.5,21.4,431º
Barra da Estiva,BA,"20,767",3,3,7,3,3,7,20.9,20.9,445º
Itambé,BA,"22,650",1,6,7,1,6,7,20.6,20.6,449º
Inhambupe,BA,"37,321",6,8,9,6,8,9,20.5,20.5,451º
Mucuri,BA,"37,229",9,4,5,11,4,7,16.1,19.7,469º
Ibotirama,BA,"25,617",1,0,0,7,4,4,1.3,19.5,475º
Paripiranga,BA,"27,958",10,3,2,10,4,2,17.9,19.1,489º
Ipirá,BA,"59,001",8,6,7,14,7,12,11.9,18.6,507º
Cachoeira,BA,"32,270",2,4,11,2,4,11,17.6,17.6,539º
Barreiras,BA,"141,081",0,0,0,17,26,31,0.0,17.5,541º
Poções,BA,"45,903",4,5,15,4,5,15,17.4,17.4,546º
Olindina,BA,"25,100",6,4,2,6,4,3,15.9,17.3,550º
Casa Nova,BA,"66,331",12,6,14,12,7,15,16.1,17.1,555º
Wenceslau Guimarães,BA,"21,910",2,4,5,2,4,5,16.7,16.7,565º
Santa Maria da Vitória,BA,"40,165",6,5,2,7,8,5,10.8,16.6,569º
Curaçá,BA,"32,631",4,7,5,4,7,5,16.3,16.3,578º
Capim Grosso,BA,"27,067",0,8,5,0,8,5,16.0,16.0,593º
Guaratinga,BA,"21,840",4,1,2,4,2,4,10.7,15.3,619º
Baixa Grande,BA,"20,031",2,2,1,4,4,1,8.3,15.0,632º
Tucano,BA,"52,734",3,5,8,6,7,10,10.1,14.5,646º
Ubaíra,BA,"20,714",0,2,7,0,2,7,14.5,14.5,651º
Bom Jesus da Lapa,BA,"64,740",7,10,5,7,14,7,11.3,14.4,653º
Serrinha,BA,"77,211",6,8,9,9,11,13,9.9,14.2,663º
Coração de Maria,BA,"22,149",2,2,4,3,2,4,12.0,13.5,690º
Itanhém,BA,"20,015",4,2,2,4,2,2,13.3,13.3,702º
Barra,BA,"50,134",3,6,4,3,10,7,8.6,13.3,704º
Conceição do Coité,BA,"63,033",10,4,6,12,7,6,10.6,13.2,706º
Riachão do Jacuípe,BA,"33,271",4,2,2,7,3,3,8.0,13.0,721º
Santo Estêvão,BA,"48,897",4,5,2,4,6,9,7.5,13.0,725º
Correntina,BA,"31,397",0,1,3,2,6,4,4.2,12.7,734º
Muritiba,BA,"28,944",1,3,7,1,3,7,12.7,12.7,741º
Mutuípe,BA,"21,608",2,0,6,2,0,6,12.3,12.3,759º
Cruz das Almas,BA,"59,470",7,3,12,7,3,12,12.3,12.3,760º
Jaguaquara,BA,"51,635",6,12,1,6,12,1,12.3,12.3,762º
Jeremoabo,BA,"38,163",5,7,2,5,7,2,12.2,12.2,766º
Riachão das Neves,BA,"21,941",0,0,0,2,2,4,0.0,12.2,770º
Itapicuru,BA,"33,008",4,2,5,4,2,6,11.1,12.1,771º
Cansanção,BA,"33,054",4,3,5,4,3,5,12.1,12.1,772º
Irará,BA,"27,814",2,2,4,2,2,6,9.6,12.0,782º
Encruzilhada,BA,"22,478",1,2,4,2,2,4,10.4,11.9,787º
Ribeira do Pombal,BA,"47,877",3,2,8,3,5,9,9.1,11.8,792º
Laje,BA,"22,679",3,2,3,3,2,3,11.8,11.8,797º
Xique-Xique,BA,"45,660",2,7,6,2,8,6,11.0,11.7,801º
Cândido Sales,BA,"25,711",2,2,5,2,2,5,11.7,11.7,803º
Pindobaçu,BA,"20,009",4,1,1,4,2,1,10.0,11.7,804º
Livramento de Nossa Senhora,BA,"43,514",0,6,7,0,7,8,10.0,11.5,816º
Brumado,BA,"64,972",7,4,11,7,4,11,11.3,11.3,827º
Conceição da Feira,BA,"20,826",0,3,2,0,5,2,8.0,11.2,831º
Queimadas,BA,"24,602",2,1,2,3,1,4,6.8,10.8,849º
Caravelas,BA,"21,612",2,3,2,2,3,2,10.8,10.8,851º
Santaluz,BA,"34,274",4,2,3,6,2,3,8.8,10.7,857º
Iaçu,BA,"25,319",2,2,2,4,2,2,7.9,10.5,863º
Barra do Choça,BA,"35,501",4,3,4,4,3,4,10.3,10.3,874º
Remanso,BA,"39,365",3,4,5,3,4,5,10.2,10.2,885º
Maragogipe,BA,"43,114",1,2,9,2,2,9,9.3,10.1,891º
Araci,BA,"52,325",5,3,3,8,3,4,7.0,9.6,919º
Presidente Tancredo Neves,BA,"24,517",2,1,4,2,1,4,9.5,9.5,921º
Morro do Chapéu,BA,"35,251",0,1,7,1,2,7,7.6,9.5,926º
Senhor do Bonfim,BA,"75,437",9,6,4,10,6,5,8.4,9.3,941º
Valente,BA,"25,342",3,2,0,4,2,1,6.6,9.2,945º
Ruy Barbosa,BA,"30,010",1,4,0,1,7,0,5.6,8.9,963º
Nova Soure,BA,"24,265",2,2,1,2,2,2,6.9,8.2,1006º
Castro Alves,BA,"25,555",2,1,3,2,1,3,7.8,7.8,1034º
Jaguarari,BA,"30,769",1,3,3,1,3,3,7.6,7.6,1048º
Santa Rita de Cássia,BA,"26,653",0,0,0,2,2,2,0.0,7.5,1053º
Serra do Ramalho,BA,"31,525",0,3,3,1,3,3,6.3,7.4,1058º
Formosa do Rio Preto,BA,"23,169",0,0,0,1,0,4,0.0,7.2,1073º
Campo Formoso,BA,"67,305",8,2,4,8,2,4,6.9,6.9,1100º
Amargosa,BA,"34,845",1,4,2,1,4,2,6.7,6.7,1118º
Santana,BA,"24,987",3,1,0,3,2,0,5.3,6.7,1121º
São Felipe,BA,"20,329",0,2,2,0,2,2,6.6,6.6,1135º
Lapão,BA,"25,785",1,0,3,1,0,4,5.2,6.5,1148º
Monte Santo,BA,"52,023",2,4,3,2,4,4,5.8,6.4,1153º
Miguel Calmon,BA,"26,188",0,2,2,1,2,2,5.1,6.4,1159º
Paramirim,BA,"21,226",1,2,0,1,2,1,4.7,6.3,1163º
Pilão Arcado,BA,"33,176",2,2,1,2,3,1,5.0,6.0,1184º
Piritiba,BA,"22,907",1,0,3,1,0,3,5.8,5.8,1203º
Uauá,BA,"24,015",0,1,2,1,1,2,4.2,5.6,1221º
Sento Sé,BA,"38,174",2,2,0,2,3,1,3.5,5.2,1249º
Caetité,BA,"47,774",1,3,1,2,3,2,3.5,4.9,1295º
Seabra,BA,"42,163",2,1,2,3,1,2,4.0,4.7,1306º
Euclides da Cunha,BA,"56,962",2,4,0,2,5,1,3.5,4.7,1314º
Oliveira dos Brejinhos,BA,"21,813",0,0,0,1,1,1,0.0,4.6,1320º
Paratinga,BA,"29,853",2,0,0,4,0,0,2.2,4.5,1328º
Rafael Jambeiro,BA,"22,916",1,0,0,2,0,1,1.5,4.4,1338º
Cícero Dantas,BA,"32,470",2,0,0,3,0,1,2.1,4.1,1370º
Canarana,BA,"24,430",2,0,1,2,0,1,4.1,4.1,1372º
Mundo Novo,BA,"24,867",0,1,0,2,1,0,1.3,4.0,1378º
Maracás,BA,"25,024",0,0,0,3,0,0,0.0,4.0,1381º
Campo Alegre de Lourdes,BA,"28,156",0,1,0,1,2,0,1.2,3.6,1413º
São Desidério,BA,"28,921",0,0,0,1,1,1,0.0,3.5,1420º
Riacho de Santana,BA,"31,027",0,0,1,1,0,2,1.1,3.2,1443º
